second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
558,STATIC,-76028,-76028,0,4,0
559,STATIC,-71522,-71522,0,4,0
560,STATIC,-70959,-70959,0,4,0
561,STATIC,-76590,-76590,0,4,0
562,STATIC,-77717,-77717,0,4,0
563,STATIC,-79406,-79406,0,4,0
564,STATIC,-76028,-76028,0,4,0
565,STATIC,-76590,-76590,0,4,0
566,STATIC,-76591,-76591,0,4,0
567,STATIC,-82222,-82222,0,4,0
568,STATIC,-82786,-82786,0,4,0
569,STATIC,-85038,-85038,0,4,0
570,STATIC,-85038,-85038,0,4,0
571,STATIC,-84475,-84475,0,4,0
572,STATIC,-83912,-83912,0,4,0
573,STATIC,-76028,-76028,0,4,0
574,STATIC,-76028,-76028,0,4,0
575,STATIC,-74902,-74902,0,4,0
576,STATIC,-74901,-74901,0,4,0
577,STATIC,-70959,-70959,0,4,0
578,STATIC,-73212,-73212,0,4,0
579,STATIC,-77154,-77154,0,4,0
580,STATIC,-75464,-75464,0,4,0
581,STATIC,-68144,-68144,0,4,0
582,STATIC,-78280,-78280,0,4,0
583,STATIC,-78843,-78843,0,4,0
584,STATIC,-70959,-70959,0,4,0
585,STATIC,-68706,-68706,0,4,0
586,STATIC,-68706,-68706,0,4,0
587,STATIC,-77717,-77717,0,4,0
588,STATIC,-79970,-79970,0,4,0
589,STATIC,-78843,-78843,0,4,0
590,STATIC,-80533,-80533,0,4,0
591,STATIC,-82786,-82786,0,4,0
592,STATIC,-83912,-83912,0,4,0
593,STATIC,-82786,-82786,0,4,0
594,STATIC,-86164,-86164,0,4,0
595,STATIC,-90107,-90107,0,4,0
596,STATIC,-90670,-90670,0,4,0
597,STATIC,-87854,-87854,0,4,0
598,STATIC,-88980,-88980,0,4,0
599,STATIC,-83348,-83348,0,4,0
600,STATIC,-83349,-83349,0,4,0
601,STATIC,-82786,-82786,0,4,0
602,STATIC,-81096,-81096,0,4,0
603,STATIC,-74902,-74902,0,4,0
604,STATIC,-81096,-81096,0,4,0
605,STATIC,-86164,-86164,0,4,0
606,STATIC,-79970,-79970,0,4,0
607,STATIC,-82786,-82786,0,4,0
608,STATIC,-83912,-83912,0,4,0
609,STATIC,-84475,-84475,0,4,0
610,STATIC,-85038,-85038,0,4,0
611,STATIC,-86728,-86728,0,4,0
612,STATIC,-77717,-77717,0,4,0
613,STATIC,-79970,-79970,0,4,0
614,STATIC,-73774,-73774,0,4,0
615,STATIC,-81096,-81096,0,4,0
616,STATIC,-73212,-73212,0,4,0
617,STATIC,-67580,-67580,0,4,0
618,STATIC,-69833,-69833,0,4,0
619,STATIC,-76590,-76590,0,4,0
620,STATIC,-81096,-81096,0,4,0
621,STATIC,-85038,-85038,0,4,0
622,STATIC,-80532,-80532,0,4,0
623,STATIC,-75464,-75464,0,4,0
624,STATIC,-70396,-70396,0,4,0
625,STATIC,-76028,-76028,0,4,0
626,STATIC,-71522,-71522,0,4,0
627,STATIC,-70396,-70396,0,4,0
628,STATIC,-73212,-73212,0,4,0
629,STATIC,-81659,-81659,0,4,0
